Transaction Date,Account Number,Account Holder Name,Amount
2025-12-08,000-100000119-19,Jack Anderson,-10.00
2025-01-09,000-100000120-20,Alice Johnson,121.20
2025/02/10,000-100000121-21,Bob Smith,121.21
2025-03-11,0000000000000122,Carol Williams,122.22
2025-04-12,000-100000123-23,,123.23
2025-05-13,000-100000124-24,Emma Davis,-10.00
2025-06-14,000-100000125-25,Frank Miller,126.25
2025/07/15,000-100000126-26,Grace Wilson,126.26
2025-08-16,0000000000000127,Hank Moore,127.27
2025-09-17,000-100000128-28,,128.28
2025-10-18,000-100000129-29,Jack Anderson,-10.00
2025-11-19,000-100000130-30,Alice Johnson,131.30
2025/12/20,000-100000131-31,Bob Smith,131.31
2025-01-21,0000000000000132,Carol Williams,132.32
2025-02-22,000-100000133-33,,133.33
2025-03-23,000-100000134-34,Emma Davis,-10.00
2025-04-24,000-100000135-35,Frank Miller,136.35
2025/05/25,000-100000136-36,Grace Wilson,136.36
2025-06-26,0000000000000137,Hank Moore,137.37
2025-07-27,000-100000138-38,,138.38
2025-08-28,000-100000139-39,Jack Anderson,-10.00
2025-09-01,000-100000140-40,Alice Johnson,141.40
2025/10/02,000-100000141-41,Bob Smith,141.41
2025-11-03,0000000000000142,Carol Williams,142.42
2025-12-04,000-100000143-43,,143.43
2025-01-05,000-100000144-44,Emma Davis,-10.00
2025-02-06,000-100000145-45,Frank Miller,146.45
2025/03/07,000-100000146-46,Grace Wilson,146.46
2025-04-08,0000000000000147,Hank Moore,147.47
2025-05-09,000-100000148-48,,148.48
2025-06-10,000-100000149-49,Jack Anderson,-10.00
2025-07-11,000-100000150-50,Alice Johnson,151.50
2025/08/12,000-100000151-51,Bob Smith,151.51
2025-09-13,0000000000000152,Carol Williams,152.52
2025-10-14,000-100000153-53,,153.53
2025-11-15,000-100000154-54,Emma Davis,-10.00
2025-12-16,000-100000155-55,Frank Miller,156.55
2025/01/17,000-100000156-56,Grace Wilson,156.56
2025-02-18,0000000000000157,Hank Moore,157.57
2025-03-19,000-100000158-58,,158.58
2025-04-20,000-100000159-59,Jack Anderson,-10.00
2025-05-21,000-100000160-60,Alice Johnson,161.60
2025/06/22,000-100000161-61,Bob Smith,161.61
2025-07-23,0000000000000162,Carol Williams,162.62
2025-08-24,000-100000163-63,,163.63
2025-09-25,000-100000164-64,Emma Davis,-10.00
2025-10-26,000-100000165-65,Frank Miller,166.65
2025/11/27,000-100000166-66,Grace Wilson,166.66
2025-12-28,0000000000000167,Hank Moore,167.67
2025-01-01,000-100000168-68,,168.68
2025-02-02,000-100000169-69,Jack Anderson,-10.00
2025-03-03,000-100000170-70,Alice Johnson,171.70
2025/04/04,000-100000171-71,Bob Smith,171.71
2025-05-05,0000000000000172,Carol Williams,172.72
2025-06-06,000-100000173-73,,173.73
2025-07-07,000-100000174-74,Emma Davis,-10.00
2025-08-08,000-100000175-75,Frank Miller,176.75
2025/09/09,000-100000176-76,Grace Wilson,176.76
2025-10-10,0000000000000177,Hank Moore,177.77
2025-11-11,000-100000178-78,,178.78
2025-12-12,000-100000179-79,Jack Anderson,-10.00
2025-01-13,000-100000180-80,Alice Johnson,181.80
2025/02/14,000-100000181-81,Bob Smith,181.81
2025-03-15,0000000000000182,Carol Williams,182.82
2025-04-16,000-100000183-83,,183.83
2025-05-17,000-100000184-84,Emma Davis,-10.00
2025-06-18,000-100000185-85,Frank Miller,186.85
2025/07/19,000-100000186-86,Grace Wilson,186.86
2025-08-20,0000000000000187,Hank Moore,187.87
2025-09-21,000-100000188-88,,188.88
2025-10-22,000-100000189-89,Jack Anderson,-10.00
2025-11-23,000-100000190-90,Alice Johnson,191.90
2025/12/24,000-100000191-91,Bob Smith,191.91
2025-01-25,0000000000000192,Carol Williams,192.92
2025-02-26,000-100000193-93,,193.93
2025-03-27,000-100000194-94,Emma Davis,-10.00
2025-04-28,000-100000195-95,Frank Miller,196.95
2025/05/01,000-100000196-96,Grace Wilson,196.96
2025-06-02,0000000000000197,Hank Moore,197.97
2025-07-03,000-100000198-98,,198.98
2025-08-04,000-100000199-99,Jack Anderson,-10.00
2025-09-05,000-100000200-00,Alice Johnson,201.00
2025/10/06,000-100000201-01,Bob Smith,201.01
2025-11-07,0000000000000202,Carol Williams,202.02
2025-12-08,000-100000203-03,,203.03
2025-01-09,000-100000204-04,Emma Davis,-10.00
2025-02-10,000-100000205-05,Frank Miller,206.05
2025/03/11,000-100000206-06,Grace Wilson,206.06
2025-04-12,0000000000000207,Hank Moore,207.07
2025-05-13,000-100000208-08,,208.08
2025-06-14,000-100000209-09,Jack Anderson,-10.00
2025-07-15,000-100000210-10,Alice Johnson,211.10
2025/08/16,000-100000211-11,Bob Smith,211.11
2025-09-17,0000000000000212,Carol Williams,212.12
2025-10-18,000-100000213-13,,213.13
2025-11-19,000-100000214-14,Emma Davis,-10.00
2025-12-20,000-100000215-15,Frank Miller,216.15
2025/01/21,000-100000216-16,Grace Wilson,216.16
2025-02-22,0000000000000217,Hank Moore,217.17
2025-03-23,000-100000218-18,,218.18
2025-04-24,000-100000219-19,Jack Anderson,-10.00
2025-05-25,000-100000220-20,Alice Johnson,221.20
2025/06/26,000-100000221-21,Bob Smith,221.21
2025-07-27,0000000000000222,Carol Williams,222.22
2025-08-28,000-100000223-23,,223.23
2025-09-01,000-100000224-24,Emma Davis,-10.00
2025-10-02,000-100000225-25,Frank Miller,226.25
2025/11/03,000-100000226-26,Grace Wilson,226.26
2025-12-04,0000000000000227,Hank Moore,227.27
2025-01-05,000-100000228-28,,228.28
2025-02-06,000-100000229-29,Jack Anderson,-10.00
2025-03-07,000-100000230-30,Alice Johnson,231.30
2025/04/08,000-100000231-31,Bob Smith,231.31
2025-05-09,0000000000000232,Carol Williams,232.32
2025-06-10,000-100000233-33,,233.33
2025-07-11,000-100000234-34,Emma Davis,-10.00
2025-08-12,000-100000235-35,Frank Miller,236.35
2025/09/13,000-100000236-36,Grace Wilson,236.36
2025-10-14,0000000000000237,Hank Moore,237.37
2025-11-15,000-100000238-38,,238.38
2025-12-16,000-100000239-39,Jack Anderson,-10.00
2025-01-17,000-100000240-40,Alice Johnson,241.40
2025/02/18,000-100000241-41,Bob Smith,241.41
2025-03-19,0000000000000242,Carol Williams,242.42
2025-04-20,000-100000243-43,,243.43
2025-05-21,000-100000244-44,Emma Davis,-10.00
2025-06-22,000-100000245-45,Frank Miller,246.45
2025/07/23,000-100000246-46,Grace Wilson,246.46
2025-08-24,0000000000000247,Hank Moore,247.47
2025-09-25,000-100000248-48,,248.48
2025-10-26,000-100000249-49,Jack Anderson,-10.00
2025-11-27,000-100000250-50,Alice Johnson,251.50
2025/12/28,000-100000251-51,Bob Smith,251.51
2025-01-01,0000000000000252,Carol Williams,252.52
2025-02-02,000-100000253-53,,253.53
2025-03-03,000-100000254-54,Emma Davis,-10.00
2025-04-04,000-100000255-55,Frank Miller,256.55
2025/05/05,000-100000256-56,Grace Wilson,256.56
2025-06-06,0000000000000257,Hank Moore,257.57
2025-07-07,000-100000258-58,,258.58
2025-08-08,000-100000259-59,Jack Anderson,-10.00
2025-09-09,000-100000260-60,Alice Johnson,261.60
2025/10/10,000-100000261-61,Bob Smith,261.61
2025-11-11,0000000000000262,Carol Williams,262.62
2025-12-12,000-100000263-63,,263.63
2025-01-13,000-100000264-64,Emma Davis,-10.00
2025-02-14,000-100000265-65,Frank Miller,266.65
2025/03/15,000-100000266-66,Grace Wilson,266.66
2025-04-16,0000000000000267,Hank Moore,267.67
2025-05-17,000-100000268-68,,268.68
2025-06-18,000-100000269-69,Jack Anderson,-10.00
2025-07-19,000-100000270-70,Alice Johnson,271.70
2025/08/20,000-100000271-71,Bob Smith,271.71
2025-09-21,0000000000000272,Carol Williams,272.72
2025-10-22,000-100000273-73,,273.73
2025-11-23,000-100000274-74,Emma Davis,-10.00
2025-12-24,000-100000275-75,Frank Miller,276.75
2025/01/25,000-100000276-76,Grace Wilson,276.76
2025-02-26,0000000000000277,Hank Moore,277.77
2025-03-27,000-100000278-78,,278.78
2025-04-28,000-100000279-79,Jack Anderson,-10.00
2025-05-01,000-100000280-80,Alice Johnson,281.80
2025/06/02,000-100000281-81,Bob Smith,281.81
2025-07-03,0000000000000282,Carol Williams,282.82
2025-08-04,000-100000283-83,,283.83
2025-09-05,000-100000284-84,Emma Davis,-10.00
2025-10-06,000-100000285-85,Frank Miller,286.85
2025/11/07,000-100000286-86,Grace Wilson,286.86
2025-12-08,0000000000000287,Hank Moore,287.87
2025-01-09,000-100000288-88,,288.88
2025-02-10,000-100000289-89,Jack Anderson,-10.00
2025-03-11,000-100000290-90,Alice Johnson,291.90
2025/04/12,000-100000291-91,Bob Smith,291.91
2025-05-13,0000000000000292,Carol Williams,292.92
2025-06-14,000-100000293-93,,293.93
2025-07-15,000-100000294-94,Emma Davis,-10.00
2025-08-16,000-100000295-95,Frank Miller,296.95
2025/09/17,000-100000296-96,Grace Wilson,296.96
2025-10-18,0000000000000297,Hank Moore,297.97
2025-11-19,000-100000298-98,,298.98
2025-12-20,000-100000299-99,Jack Anderson,-10.00
2025-01-21,000-100000300-00,Alice Johnson,301.00
2025/02/22,000-100000301-01,Bob Smith,301.01
2025-03-23,0000000000000302,Carol Williams,302.02
2025-04-24,000-100000303-03,,303.03
2025-05-25,000-100000304-04,Emma Davis,-10.00
2025-06-26,000-100000305-05,Frank Miller,306.05
2025/07/27,000-100000306-06,Grace Wilson,306.06
2025-08-28,0000000000000307,Hank Moore,307.07
2025-09-01,000-100000308-08,,308.08
2025-10-02,000-100000309-09,Jack Anderson,-10.00
2025-11-03,000-100000310-10,Alice Johnson,311.10
2025/12/04,000-100000311-11,Bob Smith,311.11
2025-01-05,0000000000000312,Carol Williams,312.12
2025-02-06,000-100000313-13,,313.13
2025-03-07,000-100000314-14,Emma Davis,-10.00
2025-04-08,000-100000315-15,Frank Miller,316.15
2025/05/09,000-100000316-16,Grace Wilson,316.16
2025-06-10,0000000000000317,Hank Moore,317.17
2025-07-11,000-100000318-18,,318.18
2025-08-12,000-100000319-19,Jack Anderson,-10.00
2025-09-13,000-100000320-20,Alice Johnson,321.20
2025/10/14,000-100000321-21,Bob Smith,321.21
2025-11-15,0000000000000322,Carol Williams,322.22
2025-12-16,000-100000323-23,,323.23
2025-01-17,000-100000324-24,Emma Davis,-10.00
2025-02-18,000-100000325-25,Frank Miller,326.25
2025/03/19,000-100000326-26,Grace Wilson,326.26
2025-04-20,0000000000000327,Hank Moore,327.27
2025-05-21,000-100000328-28,,328.28
2025-06-22,000-100000329-29,Jack Anderson,-10.00
2025-07-23,000-100000330-30,Alice Johnson,331.30
2025/08/24,000-100000331-31,Bob Smith,331.31
2025-09-25,0000000000000332,Carol Williams,332.32
2025-10-26,000-100000333-33,,333.33
2025-11-27,000-100000334-34,Emma Davis,-10.00
2025-12-28,000-100000335-35,Frank Miller,336.35
2025/01/01,000-100000336-36,Grace Wilson,336.36
2025-02-02,0000000000000337,Hank Moore,337.37
2025-03-03,000-100000338-38,,338.38
2025-04-04,000-100000339-39,Jack Anderson,-10.00
2025-05-05,000-100000340-40,Alice Johnson,341.40
2025/06/06,000-100000341-41,Bob Smith,341.41
2025-07-07,0000000000000342,Carol Williams,342.42
2025-08-08,000-100000343-43,,343.43
2025-09-09,000-100000344-44,Emma Davis,-10.00
2025-10-10,000-100000345-45,Frank Miller,346.45
2025/11/11,000-100000346-46,Grace Wilson,346.46
2025-12-12,0000000000000347,Hank Moore,347.47
2025-01-13,000-100000348-48,,348.48
2025-02-14,000-100000349-49,Jack Anderson,-10.00
2025-03-15,000-100000350-50,Alice Johnson,351.50
2025/04/16,000-100000351-51,Bob Smith,351.51
2025-05-17,0000000000000352,Carol Williams,352.52
2025-06-18,000-100000353-53,,353.53
2025-07-19,000-100000354-54,Emma Davis,-10.00
2025-08-20,000-100000355-55,Frank Miller,356.55
2025/09/21,000-100000356-56,Grace Wilson,356.56
2025-10-22,0000000000000357,Hank Moore,357.57
2025-11-23,000-100000358-58,,358.58
2025-12-24,000-100000359-59,Jack Anderson,-10.00
2025-01-25,000-100000360-60,Alice Johnson,361.60
2025/02/26,000-100000361-61,Bob Smith,361.61
2025-03-27,0000000000000362,Carol Williams,362.62
2025-04-28,000-100000363-63,,363.63
2025-05-01,000-100000364-64,Emma Davis,-10.00
2025-06-02,000-100000365-65,Frank Miller,366.65
2025/07/03,000-100000366-66,Grace Wilson,366.66
2025-08-04,0000000000000367,Hank Moore,367.67
2025-09-05,000-100000368-68,,368.68
2025-10-06,000-100000369-69,Jack Anderson,-10.00
2025-11-07,000-100000370-70,Alice Johnson,371.70
2025/12/08,000-100000371-71,Bob Smith,371.71
2025-01-09,0000000000000372,Carol Williams,372.72
2025-02-10,000-100000373-73,,373.73
2025-03-11,000-100000374-74,Emma Davis,-10.00
2025-04-12,000-100000375-75,Frank Miller,376.75
2025/05/13,000-100000376-76,Grace Wilson,376.76
2025-06-14,0000000000000377,Hank Moore,377.77
2025-07-15,000-100000378-78,,378.78
2025-08-16,000-100000379-79,Jack Anderson,-10.00
2025-09-17,000-100000380-80,Alice Johnson,381.80
2025/10/18,000-100000381-81,Bob Smith,381.81
2025-11-19,0000000000000382,Carol Williams,382.82
2025-12-20,000-100000383-83,,383.83
2025-01-21,000-100000384-84,Emma Davis,-10.00
2025-02-22,000-100000385-85,Frank Miller,386.85
2025/03/23,000-100000386-86,Grace Wilson,386.86
2025-04-24,0000000000000387,Hank Moore,387.87
2025-05-25,000-100000388-88,,388.88
2025-06-26,000-100000389-89,Jack Anderson,-10.00
2025-07-27,000-100000390-90,Alice Johnson,391.90
2025/08/28,000-100000391-91,Bob Smith,391.91
2025-09-01,0000000000000392,Carol Williams,392.92
2025-10-02,000-100000393-93,,393.93
2025-11-03,000-100000394-94,Emma Davis,-10.00
2025-12-04,000-100000395-95,Frank Miller,396.95
2025/01/05,000-100000396-96,Grace Wilson,396.96
2025-02-06,0000000000000397,Hank Moore,397.97
2025-03-07,000-100000398-98,,398.98
2025-04-08,000-100000399-99,Jack Anderson,-10.00
2025-05-09,000-100000400-00,Alice Johnson,401.00
2025/06/10,000-100000401-01,Bob Smith,401.01
2025-07-11,0000000000000402,Carol Williams,402.02
2025-08-12,000-100000403-03,,403.03
2025-09-13,000-100000404-04,Emma Davis,-10.00
2025-10-14,000-100000405-05,Frank Miller,406.05
2025/11/15,000-100000406-06,Grace Wilson,406.06
2025-12-16,0000000000000407,Hank Moore,407.07
2025-01-17,000-100000408-08,,408.08
2025-02-18,000-100000409-09,Jack Anderson,-10.00
2025-03-19,000-100000410-10,Alice Johnson,411.10
2025/04/20,000-100000411-11,Bob Smith,411.11
2025-05-21,0000000000000412,Carol Williams,412.12
2025-06-22,000-100000413-13,,413.13
2025-07-23,000-100000414-14,Emma Davis,-10.00
2025-08-24,000-100000415-15,Frank Miller,416.15
2025/09/25,000-100000416-16,Grace Wilson,416.16
2025-10-26,0000000000000417,Hank Moore,417.17
2025-11-27,000-100000418-18,,418.18
2025-12-28,000-100000419-19,Jack Anderson,-10.00
2025-01-01,000-100000420-20,Alice Johnson,421.20
2025/02/02,000-100000421-21,Bob Smith,421.21
2025-03-03,0000000000000422,Carol Williams,422.22
2025-04-04,000-100000423-23,,423.23
2025-05-05,000-100000424-24,Emma Davis,-10.00
2025-06-06,000-100000425-25,Frank Miller,426.25
2025/07/07,000-100000426-26,Grace Wilson,426.26
2025-08-08,0000000000000427,Hank Moore,427.27
2025-09-09,000-100000428-28,,428.28
2025-10-10,000-100000429-29,Jack Anderson,-10.00
2025-11-11,000-100000430-30,Alice Johnson,431.30
2025/12/12,000-100000431-31,Bob Smith,431.31
2025-01-13,0000000000000432,Carol Williams,432.32
2025-02-14,000-100000433-33,,433.33
2025-03-15,000-100000434-34,Emma Davis,-10.00
2025-04-16,000-100000435-35,Frank Miller,436.35
2025/05/17,000-100000436-36,Grace Wilson,436.36
2025-06-18,0000000000000437,Hank Moore,437.37
2025-07-19,000-100000438-38,,438.38
2025-08-20,000-100000439-39,Jack Anderson,-10.00
2025-09-21,000-100000440-40,Alice Johnson,441.40
2025/10/22,000-100000441-41,Bob Smith,441.41
2025-11-23,0000000000000442,Carol Williams,442.42
2025-12-24,000-100000443-43,,443.43
2025-01-25,000-100000444-44,Emma Davis,-10.00
2025-02-26,000-100000445-45,Frank Miller,446.45
2025/03/27,000-100000446-46,Grace Wilson,446.46
2025-04-28,0000000000000447,Hank Moore,447.47
2025-05-01,000-100000448-48,,448.48
2025-06-02,000-100000449-49,Jack Anderson,-10.00
2025-07-03,000-100000450-50,Alice Johnson,451.50
2025/08/04,000-100000451-51,Bob Smith,451.51
2025-09-05,0000000000000452,Carol Williams,452.52
2025-10-06,000-100000453-53,,453.53
2025-11-07,000-100000454-54,Emma Davis,-10.00
2025-12-08,000-100000455-55,Frank Miller,456.55
2025/01/09,000-100000456-56,Grace Wilson,456.56
2025-02-10,0000000000000457,Hank Moore,457.57
2025-03-11,000-100000458-58,,458.58
2025-04-12,000-100000459-59,Jack Anderson,-10.00
2025-05-13,000-100000460-60,Alice Johnson,461.60
2025/06/14,000-100000461-61,Bob Smith,461.61
2025-07-15,0000000000000462,Carol Williams,462.62
2025-08-16,000-100000463-63,,463.63
2025-09-17,000-100000464-64,Emma Davis,-10.00
2025-10-18,000-100000465-65,Frank Miller,466.65
2025/11/19,000-100000466-66,Grace Wilson,466.66
2025-12-20,0000000000000467,Hank Moore,467.67
2025-01-21,000-100000468-68,,468.68
2025-02-22,000-100000469-69,Jack Anderson,-10.00
2025-03-23,000-100000470-70,Alice Johnson,471.70
2025/04/24,000-100000471-71,Bob Smith,471.71
2025-05-25,0000000000000472,Carol Williams,472.72
2025-06-26,000-100000473-73,,473.73
2025-07-27,000-100000474-74,Emma Davis,-10.00
2025-08-28,000-100000475-75,Frank Miller,476.75
2025/09/01,000-100000476-76,Grace Wilson,476.76
2025-10-02,0000000000000477,Hank Moore,477.77
2025-11-03,000-100000478-78,,478.78
2025-12-04,000-100000479-79,Jack Anderson,-10.00
2025-01-05,000-100000480-80,Alice Johnson,481.80
2025/02/06,000-100000481-81,Bob Smith,481.81
2025-03-07,0000000000000482,Carol Williams,482.82
2025-04-08,000-100000483-83,,483.83
2025-05-09,000-100000484-84,Emma Davis,-10.00
2025-06-10,000-100000485-85,Frank Miller,486.85
2025/07/11,000-100000486-86,Grace Wilson,486.86
2025-08-12,0000000000000487,Hank Moore,487.87
2025-09-13,000-100000488-88,,488.88
2025-10-14,000-100000489-89,Jack Anderson,-10.00
2025-11-15,000-100000490-90,Alice Johnson,491.90
2025/12/16,000-100000491-91,Bob Smith,491.91
2025-01-17,0000000000000492,Carol Williams,492.92
2025-02-18,000-100000493-93,,493.93
2025-03-19,000-100000494-94,Emma Davis,-10.00
2025-04-20,000-100000495-95,Frank Miller,496.95
2025/05/21,000-100000496-96,Grace Wilson,496.96
2025-06-22,0000000000000497,Hank Moore,497.97
2025-07-23,000-100000498-98,,498.98
2025-08-24,000-100000499-99,Jack Anderson,-10.00
2025-09-25,000-100000500-00,Alice Johnson,501.00
2025/10/26,000-100000501-01,Bob Smith,501.01
2025-11-27,0000000000000502,Carol Williams,502.02
2025-12-28,000-100000503-03,,503.03
2025-01-01,000-100000504-04,Emma Davis,-10.00
2025-02-02,000-100000505-05,Frank Miller,506.05
2025/03/03,000-100000506-06,Grace Wilson,506.06
2025-04-04,0000000000000507,Hank Moore,507.07
2025-05-05,000-100000508-08,,508.08
2025-06-06,000-100000509-09,Jack Anderson,-10.00
2025-07-07,000-100000510-10,Alice Johnson,511.10
2025/08/08,000-100000511-11,Bob Smith,511.11
2025-09-09,0000000000000512,Carol Williams,512.12
2025-10-10,000-100000513-13,,513.13
2025-11-11,000-100000514-14,Emma Davis,-10.00
2025-12-12,000-100000515-15,Frank Miller,516.15
2025/01/13,000-100000516-16,Grace Wilson,516.16
2025-02-14,0000000000000517,Hank Moore,517.17
2025-03-15,000-100000518-18,,518.18
2025-04-16,000-100000519-19,Jack Anderson,-10.00
2025-05-17,000-100000520-20,Alice Johnson,521.20
2025/06/18,000-100000521-21,Bob Smith,521.21
2025-07-19,0000000000000522,Carol Williams,522.22
2025-08-20,000-100000523-23,,523.23
2025-09-21,000-100000524-24,Emma Davis,-10.00
2025-10-22,000-100000525-25,Frank Miller,526.25
2025/11/23,000-100000526-26,Grace Wilson,526.26
2025-12-24,0000000000000527,Hank Moore,527.27
2025-01-25,000-100000528-28,,528.28
2025-02-26,000-100000529-29,Jack Anderson,-10.00
2025-03-27,000-100000530-30,Alice Johnson,531.30
2025/04/28,000-100000531-31,Bob Smith,531.31
2025-05-01,0000000000000532,Carol Williams,532.32
2025-06-02,000-100000533-33,,533.33
2025-07-03,000-100000534-34,Emma Davis,-10.00
2025-08-04,000-100000535-35,Frank Miller,536.35
2025/09/05,000-100000536-36,Grace Wilson,536.36
2025-10-06,0000000000000537,Hank Moore,537.37
2025-11-07,000-100000538-38,,538.38
2025-12-08,000-100000539-39,Jack Anderson,-10.00
2025-01-09,000-100000540-40,Alice Johnson,541.40
2025/02/10,000-100000541-41,Bob Smith,541.41
2025-03-11,0000000000000542,Carol Williams,542.42
2025-04-12,000-100000543-43,,543.43
2025-05-13,000-100000544-44,Emma Davis,-10.00
2025-06-14,000-100000545-45,Frank Miller,546.45
2025/07/15,000-100000546-46,Grace Wilson,546.46
2025-08-16,0000000000000547,Hank Moore,547.47
2025-09-17,000-100000548-48,,548.48
2025-10-18,000-100000549-49,Jack Anderson,-10.00
2025-11-19,000-100000550-50,Alice Johnson,551.50
2025/12/20,000-100000551-51,Bob Smith,551.51
2025-01-21,0000000000000552,Carol Williams,552.52
2025-02-22,000-100000553-53,,553.53
2025-03-23,000-100000554-54,Emma Davis,-10.00
